S3 Table. Full list of DEGs identified in vEDS patients' skin fibroblasts.						
Column #	Transcript ID	gene_assignment	Gene Symbol	RefSeq	p-value adjusted (FDR 5%)	Fold-Change 
19987	8054702	NM_001304361 // CKAP2L // cytoskeleton associated protein 2-like // 2q13 // 150468 /// 	CKAP2L	NM_001304361	0.00218367	-1.96808
28145	8135211	"NM_001145268 // FAM185A // family with sequence similarity 185, member A // 7q22.1 // 2"	FAM185A	NM_001145268	1.28E-05	-1.96329
4879	7903461	NM_001113226 // NTNG1 // netrin G1 // 1p13.3 // 22854 /// NM_001113228 // NTNG1 // netr	NTNG1	NM_001113226	0.00962395	-1.95936
29947	8151457	NM_001040708 // HEY1 // hes-related family bHLH transcription factor with YRPW motif 1 	HEY1	NM_001040708	0.0135952	-1.95868
6186	7916836	NM_001018067 // SERBP1 // SERPINE1 mRNA binding protein 1 // 1p31 // 26135 /// NM_00101	SERBP1	NM_001018067	0.0118903	-1.95789
10393	7957793	NM_022496 // ACTR6 // ARP6 actin-related protein 6 homolog (yeast) // 12q23.1 // 64431 	ACTR6	NM_022496	7.89E-05	-1.95506
17941	8034772	NM_018154 // ASF1B // anti-silencing function 1B histone chaperone // 19p13.12 // 55723	ASF1B	NM_018154	0.00274808	-1.94913
18820	8043036	BC070280 // DHFR // dihydrofolate reductase // 5q14.1 // 1719 /// EU145592 // DHFR // d	DHFR	BC070280	0.000526086	-1.94651
24948	8104234	NM_001166260 // TRIP13 // thyroid hormone receptor interactor 13 // 5p15.33 // 9319 ///	TRIP13	NM_001166260	0.00327192	-1.94583
31496	8166469	NM_002970 // SAT1 // spermidine/spermine N1-acetyltransferase 1 // Xp22.1 // 6303 /// N	SAT1	NM_002970	0.00355561	-1.94324
5992	7914878	NM_001190481 // CLSPN // claspin // 1p34.2 // 63967 /// NM_022111 // CLSPN // claspin /	CLSPN	NM_001190481	0.0107012	-1.94022
19948	8054217	NM_005783 // TXNDC9 // thioredoxin domain containing 9 // 2q11.2 // 10190 /// ENST00000	TXNDC9	NM_005783	0.000143313	-1.93883
